"","City","Country","IOClass1","IOClass2","IODescription","IOSpecific","Source","CropsConcerned","IOLifeTime","Count","AreaOfBase","Material1","Material1Description","AmountMaterial1","UnitsMaterial1","Material2","Material2Description","AmountMaterial2","UnitsMaterial2","Material3","Material3Description","AmountMaterial3","UnitsMaterial3","Material4","Material4Description","AmountMaterial4","UnitsMaterial4","Material5","Material5Description","AmountMaterial5","UnitsMaterial5","Material6","Material6Description","AmountMaterial6","UnitsMaterial6","UnknownMaterial","UsedInLCA","MeasurementMethod","RaisedBedMaterialBased","SoilOM","SoilpH","SoilN","SoilP","SoilK","SoilMg","SoilTexture","SoilPAH","SoilPb","FoodProductionArea","AssociatedProducts","AssociatedInfra","Allocation.to.food.production...JKH.Formula","Conservative.allocation.to.food.production...JH","Material1ReclaimedOrRecycled","Material2ReclaimedOrRecycled","Material3ReclaimedOrRecycled","Material4ReclaimedOrRecycled","Material5ReclaimedOrRecycled","Material6ReclaimedOrRecycled","FarmType","Farm"
"45","London","GB","Infrastructure","Greenhouses","","","Reused","",NA,1,9.4,"Glass","",32.75,"m2","Aluminum","",39.3,"kg","Concrete","",0.94,"m3","","",NA,"","","",NA,"","",NA,NA,"","","Yes","","","",NA,NA,NA,NA,NA,"",NA,NA,100,"","Greenhouses","100%","100%","New","New","New","New","New","New","Urban Collective Garden","HS"
"46","London","GB","Infrastructure","Netting","","","New","",NA,5,NA,"Unknown plastic","",21.52,"m2","","",NA,"","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","LDPE (low-density polyethylene)","Yes","","","",NA,NA,NA,NA,NA,"",NA,NA,100,"","Netting","100%","100%","New","New","New","New","New","New","Urban Collective Garden","HS"
"47","London","GB","Infrastructure","Netting","","","New","",NA,1,NA,"Unknown plastic","",1.92,"m2","","",NA,"","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","LDPE (low-density polyethylene)","Yes","","","",NA,NA,NA,NA,NA,"",NA,NA,100,"","Netting","100%","100%","New","New","New","New","New","New","Urban Collective Garden","HS"
"48","London","GB","Infrastructure","Pathway","","","Reused","",NA,1,NA,"Concrete","cement tiles",54.7,"m2","","",NA,"","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","","Yes","","","",NA,NA,NA,NA,NA,"",NA,NA,100,"","Pathway","45%","0%","New","New","New","New","New","New","Urban Collective Garden","HS"
"49","London","GB","Infrastructure","Pergola","","","Reused","",NA,1,NA,"Wood (reclaimed)","",0.45,"m3","Steel","corrugated metal sheet",44.1,"kg","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","","Yes","","","",NA,NA,NA,NA,NA,"",NA,NA,100,"","Pergola","25%","0%","Reused","New","New","New","New","New","Urban Collective Garden","HS"
"50","London","GB","Infrastructure","Raised Beds","","","Reused","",NA,1,2.64,"Wood (reclaimed)","",0.1256,"m3","Compost (made on site)","",0.8184,"m3","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","","Yes","","","",NA,NA,NA,NA,NA,"",NA,NA,100,"","Raised Beds","100%","100%","Reused","New","New","New","New","New","Urban Collective Garden","HS"
"51","London","GB","Infrastructure","Raised Beds","","","Reused","",NA,1,2.82,"Wood (reclaimed)","",0.155,"m3","Compost (made on site)","",0.8742,"m3","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","","Yes","","","",NA,NA,NA,NA,NA,"",NA,NA,100,"","Raised Beds","100%","100%","Reused","New","New","New","New","New","Urban Collective Garden","HS"
"52","London","GB","Infrastructure","Raised Beds","","","New","",NA,11,4.1,"Wood (reclaimed)","",0.12,"m3","Compost (made on site)","",1.271,"m3","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","","Yes","","","",NA,NA,NA,NA,NA,"",NA,NA,100,"","Raised Beds","100%","100%","Reused","New","New","New","New","New","Urban Collective Garden","HS"
"53","London","GB","Infrastructure","Raised Beds","","","Reused","",NA,1,1.9,"Wood (reclaimed)","",0.176,"m3","Compost (made on site)","",0.589,"m3","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","","Yes","","","",NA,NA,NA,NA,NA,"",NA,NA,100,"","Raised Beds","100%","100%","Reused","New","New","New","New","New","Urban Collective Garden","HS"
"54","London","GB","Infrastructure","Raised Beds","","","Reused","",NA,5,1.1,"Wood (reclaimed)","",0.075,"m3","Compost (made on site)","",0.341,"m3","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","","Yes","","","",NA,NA,NA,NA,NA,"",NA,NA,100,"","Raised Beds","100%","100%","Reused","New","New","New","New","New","Urban Collective Garden","HS"
"55","London","GB","Infrastructure","Raised Beds","","","Reused","",NA,1,2.5,"Wood (reclaimed)","",0.14,"m3","Compost (made on site)","",0.775,"m3","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","","Yes","","","",NA,NA,NA,NA,NA,"",NA,NA,100,"","Raised Beds","100%","100%","Reused","New","New","New","New","New","Urban Collective Garden","HS"
"56","London","GB","Infrastructure","Raised Beds","","","New","",NA,1,NA,"Unknown plastic","Hard plastic - JH",5.87,"m2","Compost (made on site)","",0,"m3","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","Polypropylene","Yes","","","",NA,NA,NA,NA,NA,"",NA,NA,100,"","Raised Beds","100%","100%","New","New","New","New","New","New","Urban Collective Garden","HS"
"57","London","GB","Infrastructure","Raised Beds","","","Reused","",NA,1,1,"Wood (reclaimed)","",0.102,"m3","Compost (made on site)","",0.31,"m3","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","","Yes","","","",NA,NA,NA,NA,NA,"",NA,NA,100,"","Raised Beds","100%","100%","Reused","New","New","New","New","New","Urban Collective Garden","HS"
"58","London","GB","Infrastructure","Root block textile","","","New","",NA,1,NA,"Unknown plastic","Textile - JH",5.7,"m2","","",NA,"","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","Polypropylene","Yes","","","",NA,NA,NA,NA,NA,"",NA,NA,100,"","Root block textile","100%","100%","New","New","New","New","New","New","Urban Collective Garden","HS"
"59","London","GB","Infrastructure","Root block textile","","","New","",NA,8,NA,"Unknown plastic","Textile - JH",11.4,"m2","","",NA,"","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","Polypropylene","Yes","","","",NA,NA,NA,NA,NA,"",NA,NA,100,"","Root block textile","100%","100%","New","New","New","New","New","New","Urban Collective Garden","HS"
"60","London","GB","Infrastructure","Root block textile","","","New","",NA,11,NA,"Unknown plastic","Textile - JH",5.44,"m2","","",NA,"","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","Polypropylene","Yes","","","",NA,NA,NA,NA,NA,"",NA,NA,100,"","Root block textile","100%","100%","New","New","New","New","New","New","Urban Collective Garden","HS"
